epoch,accuracy,loss,lr,top-5-accuracy,val_accuracy,val_loss,val_top-5-accuracy
0,0.4050768315792084,1.8637467622756958,0.001,0.8480818271636963,0.4372280538082123,1.6946749687194824,0.885448694229126
1,0.44169384241104126,1.6686488389968872,0.001,0.8902168273925781,0.4473115801811218,1.6484935283660889,0.893596887588501
2,0.449607789516449,1.6325401067733765,0.001,0.896209716796875,0.45061182975769043,1.6210922002792358,0.8976062536239624
3,0.45427441596984863,1.6112946271896362,0.001,0.8996524214744568,0.4562699496746063,1.6037834882736206,0.9007683396339417
4,0.4575750231742859,1.5965726375579834,0.001,0.9019086956977844,0.45810097455978394,1.5956578254699707,0.9032084345817566
5,0.46017205715179443,1.5849268436431885,0.001,0.9037122130393982,0.46317094564437866,1.578542947769165,0.9050953388214111
6,0.46216750144958496,1.5757685899734497,0.001,0.9051576852798462,0.4582982659339905,1.58602774143219,0.9044013619422913
7,0.46365615725517273,1.5683586597442627,0.001,0.9063841700553894,0.4640042185783386,1.5678784847259521,0.9061893820762634
8,0.46514323353767395,1.5617576837539673,0.001,0.907360315322876,0.4620264172554016,1.56412935256958,0.9074021577835083
9,0.4662264883518219,1.556322455406189,0.001,0.9081645607948303,0.4629736542701721,1.5639854669570923,0.9078279137611389
10,0.4672040343284607,1.5513406991958618,0.001,0.909042477607727,0.4652245342731476,1.5617443323135376,0.9070844650268555
11,0.4681863486766815,1.5468171834945679,0.001,0.909773051738739,0.46749746799468994,1.5505260229110718,0.9093739986419678
12,0.4690488576889038,1.5429167747497559,0.001,0.9102994799613953,0.46967846155166626,1.5455294847488403,0.9103997349739075
13,0.46977946162223816,1.539331316947937,0.001,0.9109007120132446,0.47032302618026733,1.541688084602356,0.9106255173683167
14,0.4704776704311371,1.5360184907913208,0.001,0.9114099740982056,0.46887797117233276,1.5367319583892822,0.9109739065170288
15,0.47124287486076355,1.5326119661331177,0.001,0.9118877053260803,0.4712395966053009,1.533532738685608,0.9120146632194519
16,0.4716627895832062,1.530166745185852,0.001,0.9123062491416931,0.468362420797348,1.5403395891189575,0.9117372632026672
17,0.47243842482566833,1.5269418954849243,0.001,0.9127444624900818,0.47045257687568665,1.5331428050994873,0.9121947288513184
18,0.47283127903938293,1.5245802402496338,0.001,0.9131898283958435,0.4719330966472626,1.5332331657409668,0.9120033383369446
19,0.4734111428260803,1.5223158597946167,0.001,0.9135308265686035,0.4717320203781128,1.530342698097229,0.9123963117599487
20,0.4737298786640167,1.5200632810592651,0.001,0.9138884544372559,0.47468337416648865,1.5197997093200684,0.9143908023834229
21,0.4741906523704529,1.5177948474884033,0.001,0.9141495227813721,0.4738098084926605,1.520302176475525,0.9133430123329163
22,0.4746236503124237,1.5161702632904053,0.001,0.9144865870475769,0.4720228612422943,1.518060564994812,0.914661169052124
23,0.47517654299736023,1.513675332069397,0.001,0.9148306250572205,0.4745651185512543,1.5174107551574707,0.9148004055023193
24,0.47529491782188416,1.5119730234146118,0.001,0.9151802062988281,0.47565320134162903,1.5120292901992798,0.9152084589004517
25,0.4758368134498596,1.5099314451217651,0.001,0.9154577255249023,0.4729749262332916,1.516779899597168,0.9144542217254639
26,0.475991815328598,1.5083034038543701,0.001,0.915705680847168,0.47299158573150635,1.516191005706787,0.9146397113800049
27,0.47646501660346985,1.5063637495040894,0.001,0.9159857630729675,0.4744178056716919,1.5096797943115234,0.9156439304351807
28,0.47673457860946655,1.5049185752868652,0.001,0.9162856340408325,0.4750419557094574,1.5130013227462769,0.9150117039680481
29,0.47719237208366394,1.5031230449676514,0.001,0.916512131690979,0.4761117696762085,1.508190393447876,0.9156751036643982
30,0.4775242507457733,1.501571774482727,0.001,0.916693925857544,0.4747602641582489,1.5047852993011475,0.9159691333770752
31,0.4778362810611725,1.500153660774231,0.001,0.9168417453765869,0.4760843515396118,1.5036938190460205,0.9169384241104126
32,0.47817888855934143,1.4984431266784668,0.001,0.9170917868614197,0.47931310534477234,1.4949445724487305,0.9166722893714905
33,0.478420227766037,1.4968878030776978,0.001,0.917326807975769,0.47772130370140076,1.4965481758117676,0.9174824357032776
34,0.4788331389427185,1.4954173564910889,0.001,0.9175798296928406,0.474757581949234,1.5067627429962158,0.9159030318260193
35,0.47899913787841797,1.4942643642425537,0.001,0.9177911877632141,0.47798362374305725,1.4953346252441406,0.9172878265380859
36,0.47932323813438416,1.492897629737854,0.001,0.917961061000824,0.47771215438842773,1.4984484910964966,0.9174636602401733
37,0.4796048700809479,1.4916741847991943,0.001,0.9181026816368103,0.4748269319534302,1.5007191896438599,0.9167196154594421
38,0.4797619879245758,1.4907104969024658,0.001,0.9183079600334167,0.47697028517723083,1.4990075826644897,0.9178383350372314
39,0.48001912236213684,1.4892221689224243,0.001,0.918448805809021,0.4794270694255829,1.4919202327728271,0.9180324077606201
40,0.48013925552368164,1.4884483814239502,0.001,0.918576717376709,0.4784137010574341,1.4950779676437378,0.9180480241775513
41,0.480495423078537,1.487229347229004,0.001,0.9187484979629517,0.4780330955982208,1.4969185590744019,0.9168470501899719
42,0.4807734787464142,1.4859870672225952,0.001,0.9189605712890625,0.47870776057243347,1.4898931980133057,0.9181662797927856
43,0.4809337258338928,1.4852004051208496,0.001,0.9190358519554138,0.48042213916778564,1.4868806600570679,0.91828453540802
44,0.4811299443244934,1.484238862991333,0.001,0.9191908240318298,0.47778257727622986,1.4977489709854126,0.9172894358634949
45,0.481295645236969,1.4830185174942017,0.001,0.9193375110626221,0.47790783643722534,1.4919919967651367,0.918034017086029
46,0.48150524497032166,1.4822567701339722,0.001,0.9194964170455933,0.47891098260879517,1.490000605583191,0.9182097911834717
47,0.48150137066841125,1.481528878211975,0.001,0.9195311069488525,0.47765249013900757,1.493876576423645,0.9168508052825928
48,0.4818558692932129,1.480263113975525,0.001,0.9197710752487183,0.4793507158756256,1.489965558052063,0.9183667898178101
49,0.48208028078079224,1.4795397520065308,0.001,0.9198015928268433,0.48014259338378906,1.4815770387649536,0.9191425442695618
