epoch,accuracy,loss,lr,top-5-accuracy,val_accuracy,val_loss,val_top-5-accuracy
0,0.09837999939918518,3.5735819339752197,0.001,0.3136255443096161,0.20069000124931335,3.074974775314331,0.49691998958587646
1,0.2713311016559601,2.818296432495117,0.001,0.5698866844177246,0.34422001242637634,2.4039440155029297,0.682420015335083
2,0.3219577670097351,2.5025930404663086,0.001,0.6543511152267456,0.359250009059906,2.2652103900909424,0.7105000019073486
3,0.3335355520248413,2.408992290496826,0.001,0.6778744459152222,0.3672800064086914,2.203594207763672,0.7258700132369995
4,0.34244221448898315,2.3492419719696045,0.001,0.692870020866394,0.3713499903678894,2.1572654247283936,0.7369300127029419
5,0.35065221786499023,2.3010661602020264,0.001,0.7068011164665222,0.38137000799179077,2.1234278678894043,0.7471299767494202
6,0.3558500111103058,2.268280506134033,0.001,0.7152755260467529,0.3843199908733368,2.1092422008514404,0.7540500164031982
7,0.36016443371772766,2.242940664291382,0.001,0.7220144271850586,0.3868100047111511,2.0826945304870605,0.7580699920654297
8,0.36406999826431274,2.2206761837005615,0.001,0.727525532245636,0.3880699872970581,2.067760467529297,0.7612400054931641
9,0.3682355582714081,2.201530694961548,0.001,0.7328033447265625,0.3931399881839752,2.051992654800415,0.7648000121116638
10,0.37125110626220703,2.184746742248535,0.001,0.7370866537094116,0.3938399851322174,2.0454702377319336,0.7662000060081482
11,0.3742566704750061,2.1695659160614014,0.001,0.7409499883651733,0.3959900140762329,2.0274531841278076,0.7708500027656555
12,0.375956654548645,2.1574318408966064,0.001,0.7441588640213013,0.3987700045108795,2.0267882347106934,0.7711300253868103
13,0.3788488805294037,2.144352674484253,0.001,0.7475733160972595,0.3990100026130676,2.0207886695861816,0.7730100154876709
14,0.38061442971229553,2.1343650817871094,0.001,0.7504244446754456,0.40035998821258545,2.0116748809814453,0.7741199731826782
15,0.38212889432907104,2.1252894401550293,0.001,0.7526266574859619,0.4008300006389618,2.0062544345855713,0.7761800289154053
